id;fecha;valor;variacion;fuente;created_at
290;20230711;34344.94;-0.49;archivo_dat;2026-01-05 08:23:29
291;20230712;34879.49;1.56;archivo_dat;2026-01-05 08:23:29
292;20230713;34568.94;-0.89;archivo_dat;2026-01-05 08:23:29
293;20230714;35774.17;3.49;archivo_dat;2026-01-05 08:23:29
294;20230717;37048.29;3.56;archivo_dat;2026-01-05 08:23:29
295;20230718;37503.67;1.23;archivo_dat;2026-01-05 08:23:29
296;20230719;37255.0;-0.66;archivo_dat;2026-01-05 08:23:29
297;20230720;37062.79;-0.52;archivo_dat;2026-01-05 08:23:29
298;20230721;36892.34;-0.46;archivo_dat;2026-01-05 08:23:29
299;20230725;36887.16;-0.01;archivo_dat;2026-01-05 08:23:29
300;20230726;36112.46;-2.1;archivo_dat;2026-01-05 08:23:29
301;20230727;35582.23;-1.47;archivo_dat;2026-01-05 08:23:29
302;20230728;35528.05;-0.15;archivo_dat;2026-01-05 08:23:29
303;20230731;35783.35;0.72;archivo_dat;2026-01-05 08:23:29
304;20230801;34894.95;-2.48;archivo_dat;2026-01-05 08:23:29
305;20230802;34912.43;0.05;archivo_dat;2026-01-05 08:23:29
306;20230803;36021.36;3.18;archivo_dat;2026-01-05 08:23:29
307;20230804;34987.3;-2.87;archivo_dat;2026-01-05 08:23:29
308;20230807;35450.87;1.32;archivo_dat;2026-01-05 08:23:29
309;20230808;36372.72;2.6;archivo_dat;2026-01-05 08:23:29
310;20230809;36002.3;-1.02;archivo_dat;2026-01-05 08:23:29
311;20230810;35922.65;-0.22;archivo_dat;2026-01-05 08:23:29
312;20230811;35896.43;-0.07;archivo_dat;2026-01-05 08:23:29
313;20230815;35796.91;-0.28;archivo_dat;2026-01-05 08:23:29
314;20230816;36157.07;1.01;archivo_dat;2026-01-05 08:23:29
315;20230817;36871.41;1.98;archivo_dat;2026-01-05 08:23:29
316;20230818;37227.24;0.97;archivo_dat;2026-01-05 08:23:29
317;20230821;37239.89;0.03;archivo_dat;2026-01-05 08:23:29
318;20230822;36903.59;-0.9;archivo_dat;2026-01-05 08:23:29
319;20230823;36883.43;-0.05;archivo_dat;2026-01-05 08:23:29
320;20230824;36599.96;-0.77;archivo_dat;2026-01-05 08:23:29
321;20230825;37379.87;2.13;archivo_dat;2026-01-05 08:23:29
322;20230828;37880.94;1.34;archivo_dat;2026-01-05 08:23:29
323;20230829;37847.82;-0.09;archivo_dat;2026-01-05 08:23:29
324;20230830;38121.01;0.72;archivo_dat;2026-01-05 08:23:29
325;20230831;38542.94;1.11;archivo_dat;2026-01-05 08:23:29
326;20230901;38946.44;1.05;archivo_dat;2026-01-05 08:23:29
327;20230904;38625.96;-0.82;archivo_dat;2026-01-05 08:23:29
328;20230905;38691.4;0.17;archivo_dat;2026-01-05 08:23:29
329;20230906;38935.81;0.63;archivo_dat;2026-01-05 08:23:29
330;20230907;38524.86;-1.06;archivo_dat;2026-01-05 08:23:29
331;20230908;38842.81;0.83;archivo_dat;2026-01-05 08:23:29
332;20230912;38823.69;-0.05;archivo_dat;2026-01-05 08:23:29
333;20230913;39109.84;0.74;archivo_dat;2026-01-05 08:23:29
334;20230914;38257.94;-2.18;archivo_dat;2026-01-05 08:23:29
335;20230915;38658.05;1.05;archivo_dat;2026-01-05 08:23:29
336;20230918;39117.92;1.19;archivo_dat;2026-01-05 08:23:29
337;20230919;39068.79;-0.13;archivo_dat;2026-01-05 08:23:29
338;20230920;39053.59;-0.04;archivo_dat;2026-01-05 08:23:29
339;20230921;39063.73;0.03;archivo_dat;2026-01-05 08:23:29
340;20230922;38957.57;-0.27;archivo_dat;2026-01-05 08:23:29
341;20230925;39204.76;0.63;archivo_dat;2026-01-05 08:23:29
342;20230926;39387.12;0.47;archivo_dat;2026-01-05 08:23:29
343;20230927;39745.38;0.91;archivo_dat;2026-01-05 08:23:29
344;20230928;40391.07;1.62;archivo_dat;2026-01-05 08:23:29
345;20230929;42832.71;6.04;archivo_dat;2026-01-05 08:23:29
346;20231002;43531.93;1.63;archivo_dat;2026-01-05 08:23:29
347;20231003;44591.51;2.43;archivo_dat;2026-01-05 08:23:29
348;20231004;44909.54;0.71;archivo_dat;2026-01-05 08:23:29
349;20231005;43958.04;-2.12;archivo_dat;2026-01-05 08:23:29
350;20231006;44477.65;1.18;archivo_dat;2026-01-05 08:23:29
351;20231009;44027.38;-1.01;archivo_dat;2026-01-05 08:23:29
352;20231010;44400.21;0.85;archivo_dat;2026-01-05 08:23:29
353;20231011;44620.96;0.5;archivo_dat;2026-01-05 08:23:29
354;20231013;44915.87;0.66;archivo_dat;2026-01-05 08:23:29
355;20231016;46710.08;3.99;archivo_dat;2026-01-05 08:23:29
356;20231017;46957.16;0.53;archivo_dat;2026-01-05 08:23:29
357;20231018;48209.21;2.67;archivo_dat;2026-01-05 08:23:29
358;20231019;52922.53;9.78;archivo_dat;2026-01-05 08:23:29
359;20231020;54964.48;3.86;archivo_dat;2026-01-05 08:23:29
360;20231023;63455.81;15.45;archivo_dat;2026-01-05 08:23:29
361;20231024;60958.98;-3.93;archivo_dat;2026-01-05 08:23:29
362;20231025;60374.71;-0.96;archivo_dat;2026-01-05 08:23:29
363;20231026;57493.58;-4.77;archivo_dat;2026-01-05 08:23:29
364;20231027;58245.04;1.31;archivo_dat;2026-01-05 08:23:29
365;20231031;58800.5;0.95;archivo_dat;2026-01-05 08:23:29
366;20231101;58173.0;-1.07;archivo_dat;2026-01-05 08:23:29
367;20231102;59815.18;2.82;archivo_dat;2026-01-05 08:23:29
368;20231103;61609.38;3.0;archivo_dat;2026-01-05 08:23:29
369;20231107;60154.72;-2.36;archivo_dat;2026-01-05 08:23:29
370;20231108;58985.82;-1.94;archivo_dat;2026-01-05 08:23:29
371;20231109;58531.78;-0.77;archivo_dat;2026-01-05 08:23:29
372;20231110;56332.52;-3.76;archivo_dat;2026-01-05 08:23:29
373;20231113;57065.98;1.3;archivo_dat;2026-01-05 08:23:29
374;20231114;58657.27;2.79;archivo_dat;2026-01-05 08:23:29
375;20231115;56942.97;-2.92;archivo_dat;2026-01-05 08:23:29
376;20231116;57174.88;0.41;archivo_dat;2026-01-05 08:23:29
377;20231117;56451.43;-1.27;archivo_dat;2026-01-05 08:23:29
378;20231120;56688.73;0.42;archivo_dat;2026-01-05 08:23:29
379;20231121;57744.57;1.86;archivo_dat;2026-01-05 08:23:29
380;20231122;59200.71;2.52;archivo_dat;2026-01-05 08:23:29
381;20231123;59185.72;-0.03;archivo_dat;2026-01-05 08:23:29
382;20231124;58652.32;-0.9;archivo_dat;2026-01-05 08:23:29
